Punk,Sex,Type,Skin,TypeSkin,Slots,Att1,Att2,Att3,Att4,Att5,Att6,Att7,TypeRare,AttCount,Att1,Att2,Att3,Att4,Att5,Att6,Att7,Min,Avg,Rank
6487,Girl,Female,Albino,FemaleAlbino,0,(blank),(blank),(blank),(blank),(blank),(blank),(blank),38%,0.08%,0.08%,,,,,,,0.08%,0.08%,0.000024576%
2204,Girl,Female,Dark,FemaleDark,0,(blank),(blank),(blank),(blank),(blank),(blank),(blank),38%,0.08%,0.08%,,,,,,,0.08%,0.08%,0.000024576%
641,Girl,Female,Light,FemaleLight,0,(blank),(blank),(blank),(blank),(blank),(blank),(blank),38%,0.08%,0.08%,,,,,,,0.08%,0.08%,0.000024576%
1050,Girl,Female,Mid,FemaleMid,0,(blank),(blank),(blank),(blank),(blank),(blank),(blank),38%,0.08%,0.08%,,,,,,,0.08%,0.08%,0.000024576%
3307,Guy,Male,Albino,MaleAlbino,0,(blank),(blank),(blank),(blank),(blank),(blank),(blank),60%,0.08%,0.08%,,,,,,,0.08%,0.08%,0.000038650%
741,Guy,Male,Dark,MaleDark,0,(blank),(blank),(blank),(blank),(blank),(blank),(blank),60%,0.08%,0.08%,,,,,,,0.08%,0.08%,0.000038650%
510,Guy,Male,Mid,MaleMid,0,(blank),(blank),(blank),(blank),(blank),(blank),(blank),60%,0.08%,0.08%,,,,,,,0.08%,0.08%,0.000038650%
281,Guy,Male,Light,MaleLight,0,(blank),(blank),(blank),(blank),(blank),(blank),(blank),60%,0.08%,0.08%,,,,,,,0.08%,0.08%,0.000038650%
8348,Guy,Male,Mid,MaleMid,7,Buck Teeth,Mole,Big Beard,Earring,Top Hat,Cigarette,Classic Shades,60%,0.01%,0.78%,6.44%,1.46%,24.59%,1.15%,9.61%,5.02%,0.78%,7.01%,0.000423161%
7920,Girl,Female,Mid,FemaleMid,6,Hot Lipstick,Rosy Cheeks,Crazy hair,Cigarette,VR,Clown Nose,(blank),38%,0.11%,6.96%,1.28%,4.14%,9.61%,3.32%,2.12%,,1.28%,4.57%,0.001931072%
7804,Guy,Alien,Alien,AlienAlien,3,Cap Forward,Pipe,Small Shades,(blank),(blank),(blank),(blank),0%,45.01%,2.54%,3.17%,3.78%,,,,,2.54%,3.16%,0.002847000%
5622,Girl,Female,Dark,FemaleDark,6,Hot Lipstick,Gold Chain,Earring,Blonde Bob,Pipe,Clown Eyes Green,(blank),38%,0.11%,6.96%,1.69%,24.59%,1.47%,3.17%,3.82%,,1.47%,6.95%,0.002935680%
5905,Guy,Alien,Alien,AlienAlien,2,Do-rag,Small Shades,(blank),(blank),(blank),(blank),(blank),0%,35.60%,3.00%,3.78%,,,,,,3.00%,3.39%,0.003051000%
2890,Guy,Alien,Alien,AlienAlien,1,Cap,(blank),(blank),(blank),(blank),(blank),(blank),0%,3.33%,3.51%,,,,,,,3.51%,3.51%,0.003159000%
2202,Girl,Female,Dark,FemaleDark,6,Hot Lipstick,Mole,Choker,Earring,Straight Hair,Classic Shades,(blank),38%,0.11%,6.96%,6.44%,0.48%,24.59%,1.51%,5.02%,,0.48%,7.50%,0.003168000%
5949,Girl,Female,Dark,FemaleDark,6,Purple Lipstick,Mole,Earring,Tassle Hat,Medical Mask,Big Shades,(blank),38%,0.11%,6.55%,6.44%,24.59%,1.78%,1.75%,5.35%,,1.75%,7.74%,0.003270784%
5577,Guy,Ape,Ape,ApeApe,1,Cowboy Hat,(blank),(blank),(blank),(blank),(blank),(blank),0%,3.33%,1.42%,,,,,,,1.42%,1.42%,0.003408000%
3100,Guy,Alien,Alien,AlienAlien,1,Headband,(blank),(blank),(blank),(blank),(blank),(blank),0%,3.33%,4.06%,,,,,,,4.06%,4.06%,0.003654000%
755,Girl,Female,Albino,FemaleAlbino,6,Black Lipstick,Mole,Earring,Blonde Bob,Cigarette,Clown Eyes Green,(blank),38%,0.11%,6.17%,6.44%,24.59%,1.47%,9.61%,3.82%,,1.47%,8.68%,0.003667840%
7971,Girl,Female,Mid,FemaleMid,6,Black Lipstick,Mole,Earring,Wild Hair,Cigarette,Big Shades,(blank),38%,0.11%,6.17%,6.44%,24.59%,4.47%,9.61%,5.35%,,4.47%,9.44%,0.003986752%
3011,Guy,Male,Dark,MaleDark,6,Frown,Normal Beard,Earring,Vampire Hair,Pipe,Small Shades,(blank),60%,0.11%,2.61%,2.92%,24.59%,1.47%,3.17%,3.78%,,1.47%,6.42%,0.004266956%
5822,Guy,Alien,Alien,AlienAlien,1,Bandana,(blank),(blank),(blank),(blank),(blank),(blank),0%,3.33%,4.81%,,,,,,,4.81%,4.81%,0.004329000%
6965,Guy,Ape,Ape,ApeApe,1,Fedora,(blank),(blank),(blank),(blank),(blank),(blank),0%,3.33%,1.86%,,,,,,,1.86%,1.86%,0.004464000%
8152,Guy,Male,Light,MaleLight,6,Smile,Gold Chain,Luxurious Beard,Earring,Knitted Cap,Eye Patch,(blank),60%,0.11%,2.38%,1.69%,2.86%,24.59%,4.19%,4.61%,,1.69%,6.72%,0.004464029%
635,Guy,Alien,Alien,AlienAlien,2,Bandana,Regular Shades,(blank),(blank),(blank),(blank),(blank),0%,35.60%,4.81%,5.27%,,,,,,4.81%,5.04%,0.004536000%
6153,Guy,Male,Mid,MaleMid,6,Goat,Earring,Messy Hair,Medical Mask,Horned Rim Glasses,Clown Nose,(blank),60%,0.11%,2.95%,24.59%,4.60%,1.75%,5.35%,2.12%,,1.75%,6.89%,0.004579172%
5795,Guy,Ape,Ape,ApeApe,1,Police Cap,(blank),(blank),(blank),(blank),(blank),(blank),0%,3.33%,2.03%,,,,,,,2.03%,2.03%,0.004872000%
4121,Guy,Male,Mid,MaleMid,6,Spots,Silver Chain,Chinstrap,Earring,Mohawk,Cigarette,(blank),60%,0.11%,1.24%,1.56%,2.82%,24.59%,4.41%,9.61%,,1.24%,7.37%,0.004896924%
9280,Guy,Ape,Ape,ApeApe,2,Cowboy Hat,3D Glasses,(blank),(blank),(blank),(blank),(blank),0%,35.60%,1.42%,2.86%,,,,,,1.42%,2.14%,0.005136000%
1839,Guy,Male,Dark,MaleDark,6,Smile,Mustache,Earring,Knitted Cap,Cigarette,Nerd Glasses,(blank),60%,0.11%,2.38%,2.88%,24.59%,4.19%,9.61%,4.72%,,2.38%,8.06%,0.005355285%
372,Guy,Ape,Ape,ApeApe,1,Cap Forward,(blank),(blank),(blank),(blank),(blank),(blank),0%,3.33%,2.54%,,,,,,,2.54%,2.54%,0.006096000%
2924,Guy,Ape,Ape,ApeApe,1,Hoodie,(blank),(blank),(blank),(blank),(blank),(blank),0%,3.33%,2.59%,,,,,,,2.59%,2.59%,0.006216000%
4464,Guy,Ape,Ape,ApeApe,3,Do-rag,Vape,Eye Mask,(blank),(blank),(blank),(blank),0%,45.01%,3.00%,2.72%,2.93%,,,,,2.72%,2.88%,0.006920000%
5217,Guy,Ape,Ape,ApeApe,2,Gold Chain,Knitted Cap,(blank),(blank),(blank),(blank),(blank),0%,35.60%,1.69%,4.19%,,,,,,1.69%,2.94%,0.007056000%
4178,Guy,Ape,Ape,ApeApe,1,Do-rag,(blank),(blank),(blank),(blank),(blank),(blank),0%,3.33%,3.00%,,,,,,,3.00%,3.00%,0.007200000%
8498,Guy,Ape,Ape,ApeApe,2,Top Hat,Regular Shades,(blank),(blank),(blank),(blank),(blank),0%,35.60%,1.15%,5.27%,,,,,,1.15%,3.21%,0.007704000%
2491,Guy,Ape,Ape,ApeApe,1,Cap,(blank),(blank),(blank),(blank),(blank),(blank),0%,3.33%,3.51%,,,,,,,3.51%,3.51%,0.008424000%
7523,Guy,Alien,Alien,AlienAlien,3,Earring,Knitted Cap,Medical Mask,(blank),(blank),(blank),(blank),0%,45.01%,24.59%,4.19%,1.75%,,,,,1.75%,10.18%,0.009159000%
2386,Guy,Ape,Ape,ApeApe,2,Headband,Small Shades,(blank),(blank),(blank),(blank),(blank),0%,35.60%,4.06%,3.78%,,,,,,3.78%,3.92%,0.009408000%
2140,Guy,Ape,Ape,ApeApe,2,Knitted Cap,Small Shades,(blank),(blank),(blank),(blank),(blank),0%,35.60%,4.19%,3.78%,,,,,,3.78%,3.99%,0.009564000%
1021,Guy,Ape,Ape,ApeApe,2,Cap,Eye Patch,(blank),(blank),(blank),(blank),(blank),0%,35.60%,3.51%,4.61%,,,,,,3.51%,4.06%,0.009744000%
2460,Guy,Ape,Ape,ApeApe,2,Bandana,VR,(blank),(blank),(blank),(blank),(blank),0%,35.60%,4.81%,3.32%,,,,,,3.32%,4.07%,0.009756000%
5314,Guy,Ape,Ape,ApeApe,2,Do-rag,Horned Rim Glasses,(blank),(blank),(blank),(blank),(blank),0%,35.60%,3.00%,5.35%,,,,,,3.00%,4.18%,0.010020000%
8219,Guy,Ape,Ape,ApeApe,1,Knitted Cap,(blank),(blank),(blank),(blank),(blank),(blank),0%,3.33%,4.19%,,,,,,,4.19%,4.19%,0.010056000%
7191,Guy,Ape,Ape,ApeApe,2,Knitted Cap,Nerd Glasses,(blank),(blank),(blank),(blank),(blank),0%,35.60%,4.19%,4.72%,,,,,,4.19%,4.46%,0.010692000%
2243,Guy,Ape,Ape,ApeApe,2,Bandana,Nerd Glasses,(blank),(blank),(blank),(blank),(blank),0%,35.60%,4.81%,4.72%,,,,,,4.72%,4.77%,0.011436000%
4156,Guy,Ape,Ape,ApeApe,1,Bandana,(blank),(blank),(blank),(blank),(blank),(blank),0%,3.33%,4.81%,,,,,,,4.81%,4.81%,0.011544000%
3443,Guy,Alien,Alien,AlienAlien,2,Earring,Cowboy Hat,(blank),(blank),(blank),(blank),(blank),0%,35.60%,24.59%,1.42%,,,,,,1.42%,13.01%,0.011704500%
9265,Guy,Ape,Ape,ApeApe,2,Bandana,Big Shades,(blank),(blank),(blank),(blank),(blank),0%,35.60%,4.81%,5.35%,,,,,,4.81%,5.08%,0.012192000%
6089,Guy,Alien,Alien,AlienAlien,2,Earring,Knitted Cap,(blank),(blank),(blank),(blank),(blank),0%,35.60%,24.59%,4.19%,,,,,,4.19%,14.39%,0.012951000%
4850,Guy,Zombie,Zombie,ZombieZombie,1,Purple Hair,(blank),(blank),(blank),(blank),(blank),(blank),1%,3.33%,1.65%,,,,,,,1.65%,1.65%,0.014520000%
5489,Guy,Zombie,Zombie,ZombieZombie,1,Fedora,(blank),(blank),(blank),(blank),(blank),(blank),1%,3.33%,1.86%,,,,,,,1.86%,1.86%,0.016368000%
5336,Guy,Zombie,Zombie,ZombieZombie,1,Police Cap,(blank),(blank),(blank),(blank),(blank),(blank),1%,3.33%,2.03%,,,,,,,2.03%,2.03%,0.017864000%
8553,Guy,Zombie,Zombie,ZombieZombie,1,Front Beard Dark,(blank),(blank),(blank),(blank),(blank),(blank),1%,3.33%,2.60%,,,,,,,2.60%,2.60%,0.022880000%
9997,Guy,Zombie,Zombie,ZombieZombie,2,Front Beard,Cap Forward,(blank),(blank),(blank),(blank),(blank),1%,35.60%,2.73%,2.54%,,,,,,2.54%,2.64%,0.023188000%
7660,Guy,Zombie,Zombie,ZombieZombie,2,Smile,Do-rag,(blank),(blank),(blank),(blank),(blank),1%,35.60%,2.38%,3.00%,,,,,,2.38%,2.69%,0.023672000%
3831,Guy,Zombie,Zombie,ZombieZombie,3,Vampire Hair,Medical Mask,Big Shades,(blank),(blank),(blank),(blank),1%,45.01%,1.47%,1.75%,5.35%,,,,,1.47%,2.86%,0.025138667%
7337,Guy,Zombie,Zombie,ZombieZombie,2,Normal Beard Black,Peak Spike,(blank),(blank),(blank),(blank),(blank),1%,35.60%,2.89%,3.03%,,,,,,2.89%,2.96%,0.026048000%
6915,Guy,Ape,Ape,ApeApe,3,Earring,Cap,Eye Patch,(blank),(blank),(blank),(blank),0%,45.01%,24.59%,3.51%,4.61%,,,,,3.51%,10.90%,0.026168000%
