Type,From,To,Crypto,USD,Txn,ID
Bid Withdrawn,natealex,NA,69,25532,2020-09-16,0
Bid,natealex,NA,69,25104,2020-09-15,0
Bid Withdrawn,natealex,NA,49,7031,2020-01-11,0
Bid,natealex,NA,49,6786,2020-01-09,0
Bid Withdrawn,natealex,NA,44,6329,2020-01-08,0
Bid,natealex,NA,44,5905,2019-12-30,0
Bid Withdrawn,natealex,NA,0,1,2019-12-30,0
Bid,natealex,NA,0,1,2019-12-30,0
Bid Withdrawn,GoWest23,NA,18.5,4544,2019-05-23,0
Bid,GoWest23,NA,18.5,4504,2019-05-22,0
Bid Withdrawn,PsyRen,NA,40,6597,2019-04-02,0
Bid,PsyRen,NA,40,6597,2019-04-02,0
Sold,0xf5099e,14715954,25,2822,2018-11-30,0
Bid,0xe08c32,NA,25,2822,2018-11-30,0
Offered,,NA,100,18303,2018-09-12,0
Offered,,NA,200,138566,2017-12-16,0
Bid,0x7760e0,NA,13,3132,2017-07-07,0
Bid,0x00d7c9,NA,13,3132,2017-07-07,0
Offered,,NA,400,96376,2017-07-07,0
Transfer,0xa0a59c,16058782,NA,NA,2017-07-07,0
Sold,0x00d7c9,10528156,1.6,386,2017-07-07,0
Bid,0xa0a59c,NA,1.6,386,2017-07-07,0
Bid,0x7760e0,NA,1.53,422,2017-07-03,0
Bid,0xa0a59c,NA,1.52,422,2017-07-03,0
Bid,0x7760e0,NA,1.3,369,2017-07-02,0
Bid,0xa0a59c,NA,1.3,369,2017-07-02,0
Bid,0x717403,NA,0.05,14,2017-06-25,0
Sold,0xc352b5,55241,0.98,320,2017-06-23,0
Bid,0x00d7c9,NA,0.98,320,2017-06-23,0
Bid,0x948a10,NA,0.6699999999999999,219,2017-06-23,0
Claimed,,12800693,NA,NA,2017-06-23,0
Transfer,0xcf6165,0xb88f61,NA,NA,2020-11-30,1
Sold,EliteCat…,0xcf6165,60,36305,2020-11-30,1
Bid,0xcf6165,,60,36305,2020-11-30,1
Offered,,,79.5,46842,2020-11-25,1
Bid Withdrawn,natealex,,50,30187,2020-11-23,1
Bid,natealex,,50,29918,2020-11-23,1
Offered,,,119.1,65980,2020-11-22,1
Offered,,,249.9,90921,2020-09-15,1
Offer Withdrawn,,,NA,NA,2020-09-14,1
Offered,,,149.5,54973,2020-09-10,1
Offer Withdrawn,,,NA,NA,2020-05-27,1
Bid Withdrawn,DANNY,,40,8107,2020-05-14,1
Offered,,,299,60811,2020-05-14,1
Bid,DANNY,,40,8088,2020-05-14,1
Offered,,,189,40461,2020-05-08,1
Offer Withdrawn,,,NA,NA,2020-05-08,1
Offered,,,349,91274,2020-02-22,1
Offer Withdrawn,,,NA,NA,2020-02-22,1
Offered,,,89,25310,2020-02-18,1
Offer Withdrawn,,,NA,NA,2020-02-18,1
Offered,,,699,149453,2020-02-06,1
Offer Withdrawn,,,NA,NA,2020-01-17,1
Offered,,,599,87406,2019-12-10,1
Transfer,EliteNFT,EliteCat…,NA,NA,2019-06-09,1
Offered,,,895,155461,2019-05-06,1
Transfer,EliteCat…,EliteNFT,NA,NA,2019-04-13,1
Transfer,GoWest23,EliteCat…,NA,NA,2019-04-06,1
Sold,0xf5099e,GoWest23,31,5155,2019-04-06,1
Bid Withdrawn,GoWest23,,21.5,3575,2019-04-06,1
Bid,GoWest23,,21.5,3575,2019-04-06,1
Offered,,,31,4153,2019-03-25,1
Offered,,,32,3824,2019-02-08,1
Bid Withdrawn,jmg,,5,747,2019-01-03,1
Offered,,,32.14,4210,2018-12-25,1
Bid,jmg,,5,704,2018-12-24,1
Offered,,,45,5920,2018-12-23,1
Offered,,,50,5644,2018-11-30,1
Offered,,,75,13727,2018-09-12,1
Bid Withdrawn,0x55c016,,0.05,50,2018-02-03,1
Bid,0x55c016,,0.05,24,2017-12-05,1
Offered,,,100,46281,2017-12-03,1
Offered,,,300,72282,2017-07-07,1
Transfer,0xa0a59c,0xf5099e,NA,NA,2017-07-07,1
Bid,0x7760e0,,0.05,16,2017-06-28,1
Offered,,,300,85842,2017-06-27,1
Sold,0xc352b5,0xa0a59c,0.42000000000000004,107,2017-06-26,1
Bid,0xa0a59c,,0.42000000000000004,107,2017-06-26,1
Bid,0x717403,,0.35,98,2017-06-25,1
Bid,sov,,0.35,98,2017-06-25,1
Bid,0xa0a59c,,0.01,1,2017-06-25,1
Bid Withdrawn,sov,,0.2,61,2017-06-24,1
Bid,sov,,0.2,61,2017-06-24,1
Claimed,,0xc352b5,NA,NA,2017-06-23,1
Bid Withdrawn,DANNY,NA,20,6914,2020-09-21,2
Bid,DANNY,NA,20,7400,2020-09-20,2
Bid Withdrawn,0x9b35db,NA,9,3532,2020-08-24,2
Bid,0x9b35db,NA,9,3504,2020-08-22,2
Bid Withdrawn,natealex,NA,8,1125,2020-01-07,2
Bid,natealex,NA,8,1071,2020-01-04,2
Bid Withdrawn,jmg,NA,3.3499999999999996,431,2020-01-01,2
Bid,jmg,NA,3.3499999999999996,433,2019-12-31,2
Bid Withdrawn,jmg,NA,4,500,2019-12-28,2
Bid,jmg,NA,4,724,2019-10-02,2
Bid Withdrawn,jmg,NA,3.5,634,2019-10-02,2
Bid,jmg,NA,3.5,634,2019-09-12,2
Bid Withdrawn,jmg,NA,2.7,489,2019-09-12,2
Bid,jmg,NA,2.7,504,2019-08-25,2
Bid,0x7760e0,NA,1.1,270,2017-07-08,2
Bid,0x00d7c9,NA,1.1,270,2017-07-08,2
Bid,0x7760e0,NA,1,246,2017-07-08,2
Bid,0x00d7c9,NA,1,246,2017-07-08,2
Bid,0x8b27de,NA,0.51,123,2017-07-07,2
Bid Withdrawn,0xa0a59c,NA,0.42000000000000004,117,2017-06-25,2
Bid,0xa0a59c,NA,0.42000000000000004,117,2017-06-25,2
Claimed,,12800693,NA,NA,2017-06-23,2
Bid Withdrawn,jmg,NA,33,11638,2020-10-04,3
Bid,jmg,NA,33,11944,2020-09-28,3
Bid Withdrawn,Alex3422,NA,5,1215,2020-06-06,3
Bid,Alex3422,NA,5,1197,2020-06-01,3
Bid,0x7760e0,NA,1.1,270,2017-07-08,3
Bid,0x00d7c9,NA,1.1,270,2017-07-08,3
Bid,0x7760e0,NA,1,246,2017-07-08,3
Bid,0x00d7c9,NA,1,246,2017-07-08,3
Bid,0x7760e0,NA,0.05,14,2017-07-02,3
Bid Withdrawn,0x00d7c9,NA,0.37,104,2017-06-30,3
Bid,0x00d7c9,NA,0.37,117,2017-06-28,3
Bid,0x717403,NA,0.06,15,2017-06-26,3
Bid,0x9be1c7,NA,0.06,15,2017-06-26,3
Bid,0x717403,NA,0.05,13,2017-06-26,3
Claimed,,12800693,NA,NA,2017-06-23,3
Bid Withdrawn,natealex,NA,4.4,621,2020-01-06,4
Bid,natealex,NA,4.4,589,2020-01-04,4
Bid Withdrawn,Carlini8,NA,2,255,2020-01-03,4
Bid,Carlini8,NA,2,264,2020-01-01,4
