ID,,Skin,Character,Eyes,Mask,Item,Rarity,URL,Preview
0,#NAME?,Freak,Male,Freak,Indian,Mirror,73.89,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10141.png
1,#NAME?,Dark,Male,Dark,Chinese,No Item,6.64,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10142.png
2,#NAME?,Light,Female,Green,Animal,No Item,23.45,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10143.png
3,#NAME?,Dark,Male,Blue,Street,No Item,16.81,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10144.png
4,#NAME?,Light,Female,Dark,Basic,No Item,10.18,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10145.png
5,#NAME?,Light,Female,Blue,Basic,No Item,20.80,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10146.png
6,#NAME?,Gold,Golden Robot,Glass,Street,No Item,54.87,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10147.png
7,#NAME?,Wood,Puppet,Painted,Chinese,No Item,55.31,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10148.png
8,#NAME?,Light,Male,Dark,Mexican,No Item,0.88,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10149.png
9,#NAME?,Gray,Female,Dark,African,No Item,12.39,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10150.png
10,#NAME?,Light,Male,Dark,Hawaiian,No Item,3.54,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10151.png
11,#NAME?,Light,Female,Blue,Doodle,No Item,20.80,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10152.png
12,#NAME?,Dark,Male,Dark,Doodle,No Item,3.10,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10153.png
13,#NAME?,Dark,Male,Green,Animal,No Item,16.37,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10154.png
14,#NAME?,Gray,Male,Dark,Animal,No Item,0.88,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10155.png
15,#NAME?,Wood,Puppet,Painted,Indian,Bottle,93.81,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10156.png
16,#NAME?,Light,Female,Dark,Doodle,No Item,10.18,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10157.png
17,#NAME?,Steel,Robot,Glass,Animal,No Item,44.69,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10158.png
18,#NAME?,Dark,Male,Dark,Pixel,No Item,6.19,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10159.png
19,#NAME?,Dark,Male,Green,Chinese,No Item,19.47,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10160.png
20,#NAME?,Gray,Male,Blue,Basic,No Item,11.06,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10161.png
21,#NAME?,Wood,Puppet,Painted,Animal,No Item,52.21,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10162.png
22,#NAME?,Gray,Male,Dark,Mexican,No Item,0.00,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10163.png
23,#NAME?,Steel,Robot,Glass,Animal,No Item,44.69,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10164.png
24,#NAME?,Steel,Robot,Glass,Street,No Item,47.79,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10165.png
25,#NAME?,Light,Male,Dark,Hawaiian,No Item,3.54,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10166.png
26,#NAME?,Blue,Female,Dark,Basic,No Item,18.14,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10167.png
27,#NAME?,Light,Male,Dark,Doodle,No Item,1.77,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10168.png
28,#NAME?,Steel,Robot,Glass,Street,No Item,47.79,#NAME?,https://hashmasksstore.blob.core.windows.net/hashmasksthumbs/10169.png
