"Date(UTC)","UnixTimeStamp","No. of Verified Contracts"
"2021-05-12","1620777600","2"
"2021-05-17","1621209600","1"
"2021-05-18","1621296000","6"
"2021-05-28","1622160000","1"
"2021-06-09","1623196800","468"
"2021-06-10","1623283200","228"
"2021-06-11","1623369600","288"
"2021-06-12","1623456000","95"
"2021-06-13","1623542400","173"
"2021-06-14","1623628800","199"
"2021-06-15","1623715200","232"
"2021-06-16","1623801600","189"
"2021-06-17","1623888000","202"
"2021-06-18","1623974400","239"
"2021-06-19","1624060800","133"
"2021-06-20","1624147200","141"
"2021-06-21","1624233600","238"
"2021-06-22","1624320000","247"
"2021-06-23","1624406400","217"
"2021-06-24","1624492800","186"
"2021-06-25","1624579200","262"
"2021-06-26","1624665600","109"
"2021-06-27","1624752000","126"
"2021-06-28","1624838400","265"
"2021-06-29","1624924800","351"
"2021-06-30","1625011200","3913"
"2021-07-01","1625097600","310"
"2021-07-02","1625184000","307"
"2021-07-03","1625270400","286"
"2021-07-04","1625356800","357"
"2021-07-05","1625443200","299"
"2021-07-06","1625529600","328"
"2021-07-07","1625616000","262"
"2021-07-08","1625702400","233"
"2021-07-09","1625788800","295"
"2021-07-10","1625875200","168"
"2021-07-11","1625961600","189"
"2021-07-12","1626048000","248"
"2021-07-13","1626134400","265"
"2021-07-14","1626220800","217"
"2021-07-15","1626307200","245"
"2021-07-16","1626393600","216"
"2021-07-17","1626480000","215"
"2021-07-18","1626566400","133"
"2021-07-19","1626652800","209"
"2021-07-20","1626739200","197"
"2021-07-21","1626825600","171"
"2021-07-22","1626912000","189"
"2021-07-23","1626998400","238"
"2021-07-24","1627084800","157"
"2021-07-25","1627171200","108"
"2021-07-26","1627257600","224"
"2021-07-27","1627344000","207"
"2021-07-28","1627430400","224"
"2021-07-29","1627516800","243"
"2021-07-30","1627603200","195"
"2021-07-31","1627689600","236"
"2021-08-01","1627776000","110"
"2021-08-02","1627862400","182"
"2021-08-03","1627948800","181"
"2021-08-04","1628035200","234"
"2021-08-05","1628121600","177"
"2021-08-06","1628208000","233"
"2021-08-07","1628294400","156"
"2021-08-08","1628380800","110"
"2021-08-09","1628467200","219"
"2021-08-10","1628553600","186"
"2021-08-11","1628640000","220"
"2021-08-12","1628726400","260"
"2021-08-13","1628812800","240"
"2021-08-14","1628899200","145"
"2021-08-15","1628985600","287"
"2021-08-16","1629072000","171"
"2021-08-17","1629158400","229"
"2021-08-18","1629244800","192"
"2021-08-19","1629331200","187"
"2021-08-20","1629417600","169"
"2021-08-21","1629504000","128"
"2021-08-22","1629590400","109"
"2021-08-23","1629676800","229"
"2021-08-24","1629763200","157"
"2021-08-25","1629849600","215"
"2021-08-26","1629936000","244"
"2021-08-27","1630022400","168"
"2021-08-28","1630108800","123"
"2021-08-29","1630195200","140"
"2021-08-30","1630281600","219"
"2021-08-31","1630368000","215"
"2021-09-01","1630454400","310"
"2021-09-02","1630540800","255"
"2021-09-03","1630627200","163"
"2021-09-04","1630713600","178"
"2021-09-05","1630800000","174"
"2021-09-06","1630886400","178"
"2021-09-07","1630972800","269"
"2021-09-08","1631059200","224"
"2021-09-09","1631145600","193"
"2021-09-10","1631232000","182"
"2021-09-11","1631318400","170"
"2021-09-12","1631404800","165"
"2021-09-13","1631491200","279"
"2021-09-14","1631577600","208"
"2021-09-15","1631664000","243"
"2021-09-16","1631750400","188"
"2021-09-17","1631836800","207"
"2021-09-18","1631923200","186"
"2021-09-19","1632009600","147"
"2021-09-20","1632096000","177"
"2021-09-21","1632182400","194"
"2021-09-22","1632268800","220"
"2021-09-23","1632355200","250"
"2021-09-24","1632441600","234"
"2021-09-25","1632528000","119"
"2021-09-26","1632614400","271"
"2021-09-27","1632700800","225"
"2021-09-28","1632787200","197"
"2021-09-29","1632873600","206"
"2021-09-30","1632960000","184"
"2021-10-01","1633046400","160"
"2021-10-02","1633132800","124"
"2021-10-03","1633219200","125"
"2021-10-04","1633305600","210"
"2021-10-05","1633392000","218"
"2021-10-06","1633478400","260"
"2021-10-07","1633564800","280"
"2021-10-08","1633651200","223"
"2021-10-09","1633737600","199"
"2021-10-10","1633824000","135"
"2021-10-11","1633910400","227"
"2021-10-12","1633996800","185"
"2021-10-13","1634083200","192"
"2021-10-14","1634169600","253"
"2021-10-15","1634256000","155"
"2021-10-16","1634342400","133"
"2021-10-17","1634428800","140"
"2021-10-18","1634515200","217"
"2021-10-19","1634601600","194"
"2021-10-20","1634688000","223"
"2021-10-21","1634774400","279"
"2021-10-22","1634860800","363"
"2021-10-23","1634947200","226"
"2021-10-24","1635033600","170"
"2021-10-25","1635120000","230"
"2021-10-26","1635206400","291"
"2021-10-27","1635292800","240"
"2021-10-28","1635379200","262"
"2021-10-29","1635465600","210"
"2021-10-30","1635552000","256"
"2021-10-31","1635638400","306"
"2021-11-01","1635724800","309"
"2021-11-02","1635811200","276"
"2021-11-03","1635897600","321"
"2021-11-04","1635984000","220"
"2021-11-05","1636070400","248"
"2021-11-06","1636156800","193"
"2021-11-07","1636243200","113"
"2021-11-08","1636329600","208"
"2021-11-09","1636416000","198"
"2021-11-10","1636502400","254"
"2021-11-11","1636588800","153"
"2021-11-12","1636675200","215"
"2021-11-13","1636761600","133"
"2021-11-14","1636848000","164"
"2021-11-15","1636934400","201"
"2021-11-16","1637020800","155"
"2021-11-17","1637107200","168"
"2021-11-18","1637193600","208"
"2021-11-19","1637280000","200"
"2021-11-20","1637366400","142"
"2021-11-21","1637452800","129"
"2021-11-22","1637539200","213"
"2021-11-23","1637625600","324"
"2021-11-24","1637712000","210"
"2021-11-25","1637798400","257"
"2021-11-26","1637884800","211"
"2021-11-27","1637971200","136"
"2021-11-28","1638057600","105"
"2021-11-29","1638144000","256"
"2021-11-30","1638230400","265"
"2021-12-01","1638316800","347"
"2021-12-02","1638403200","231"
"2021-12-03","1638489600","190"
"2021-12-04","1638576000","157"
"2021-12-05","1638662400","107"
