"","epoch","slot","age","validatorSlashed","slashedBy","reason"
"1","15087","482814","21 hrs 40 mins ago","2959","15144","Attestation rule offense"
"2","15087","482814","21 hrs 40 mins ago","2948","15144","Attestation rule offense"
"3","15087","482814","21 hrs 40 mins ago","2603","15144","Attestation rule offense"
"4","15087","482814","21 hrs 40 mins ago","2478","15144","Attestation rule offense"
"5","15087","482814","21 hrs 40 mins ago","2151","15144","Attestation rule offense"
"6","15087","482814","21 hrs 40 mins ago","2118","15144","Attestation rule offense"
"7","15068","482201","23 hrs 43 mins ago","38870","38099","Proposer rule offense"
"8","15030","480979","1 day 3 hrs ago","38815","15146","Attestation rule offense"
"9","15030","480979","1 day 3 hrs ago","38827","15146","Attestation rule offense"
"10","15027","480895","1 day 4 hrs ago","38898","6386","Attestation rule offense"
"11","15027","480895","1 day 4 hrs ago","3050","6386","Attestation rule offense"
"12","14892","476572","1 day 18 hrs ago","38847","15146","Attestation rule offense"
"13","14892","476572","1 day 18 hrs ago","38835","15146","Attestation rule offense"
"14","14886","476361","1 day 19 hrs ago","77039","21599","Attestation rule offense"
"15","14876","476053","1 day 20 hrs ago","77038","7928","Attestation rule offense"
"16","14824","474373","2 days 1 hr ago","38834","15125","Attestation rule offense"
"17","14824","474373","2 days 1 hr ago","38863","15125","Attestation rule offense"
"18","14810","473931","2 days 3 hrs ago","38818","42435","Proposer rule offense"
"19","14784","473105","2 days 6 hrs ago","38865","15596","Proposer rule offense"
"20","14776","472854","2 days 6 hrs ago","38816","16681","Proposer rule offense"
"21","14776","472844","2 days 6 hrs ago","38812","51522","Proposer rule offense"
"22","14667","469351","2 days 18 hrs ago","38811","15123","Attestation rule offense"
"23","14667","469351","2 days 18 hrs ago","3012","15123","Attestation rule offense"
"24","14667","469351","2 days 18 hrs ago","2883","15123","Attestation rule offense"
"25","14623","467949","2 days 23 hrs ago","38855","15149","Attestation rule offense"
"26","14623","467949","2 days 23 hrs ago","38826","15149","Attestation rule offense"
"27","14585","466751","3 days 3 hrs ago","38894","15133","Attestation rule offense"
"28","14585","466751","3 days 3 hrs ago","38899","15133","Attestation rule offense"
"29","14577","466487","3 days 4 hrs ago","38892","24822","Proposer rule offense"
"30","14564","466048","3 days 5 hrs ago","38882","15123","Attestation rule offense"
"31","14564","466048","3 days 5 hrs ago","38883","15123","Attestation rule offense"
"32","14473","463158","3 days 15 hrs ago","38797","6386","Attestation rule offense"
"33","14473","463158","3 days 15 hrs ago","38848","6386","Attestation rule offense"
"34","14466","462920","3 days 15 hrs ago","38862","18593","Proposer rule offense"
"35","14453","462511","3 days 17 hrs ago","38801","74054","Proposer rule offense"
"36","14424","461576","3 days 20 hrs ago","15707","15144","Attestation rule offense"
"37","14424","461576","3 days 20 hrs ago","38831","15144","Attestation rule offense"
"38","14423","461548","3 days 20 hrs ago","38887","19335","Proposer rule offense"
"39","14415","461311","3 days 21 hrs ago","38840","1985","Proposer rule offense"
"40","14408","461061","3 days 22 hrs ago","21811","52135","Attestation rule offense"
"41","14407","461052","3 days 22 hrs ago","38852","15138","Attestation rule offense"
"42","14407","461052","3 days 22 hrs ago","31017","15138","Attestation rule offense"
"43","14386","460376","4 days 28 mins ago","10146","74957","Attestation rule offense"
"44","14386","460361","4 days 31 mins ago","10147","28330","Attestation rule offense"
"45","14382","460227","4 days 58 mins ago","10145","65269","Attestation rule offense"
"46","14257","456249","4 days 14 hrs ago","38800","43616","Proposer rule offense"
"47","14188","454039","4 days 21 hrs ago","38871","42330","Proposer rule offense"
"48","14076","450451","5 days 9 hrs ago","37155","14819","Proposer rule offense"
"49","14040","449287","5 days 13 hrs ago","21761","35455","Attestation rule offense"
"50","13971","447089","5 days 20 hrs ago","38853","64076","Proposer rule offense"
"51","13861","443575","6 days 8 hrs ago","38874","66972","Proposer rule offense"
"52","13792","441356","6 days 15 hrs ago","38809","33667","Proposer rule offense"
"53","13775","440805","6 days 17 hrs ago","38854","66560","Proposer rule offense"
"54","13767","440559","6 days 18 hrs ago","38823","33696","Proposer rule offense"
"55","13716","438918","7 days ago","38810","46312","Proposer rule offense"
"56","13714","438866","7 days 10 mins ago","38885","37385","Proposer rule offense"
"57","13655","436973","7 days 6 hrs ago","38861","33088","Attestation rule offense"
"58","13646","436697","7 days 7 hrs ago","38841","60149","Proposer rule offense"
"59","13632","436252","7 days 8 hrs ago","38897","43060","Proposer rule offense"
"60","13629","436145","7 days 9 hrs ago","38817","59040","Proposer rule offense"
"61","13602","435286","7 days 12 hrs ago","38836","34711","Proposer rule offense"
"62","13597","435113","7 days 12 hrs ago","38802","43961","Attestation rule offense"
"63","13587","434815","7 days 13 hrs ago","38820","14795","Attestation rule offense"
"64","13576","434442","7 days 14 hrs ago","38814","46524","Proposer rule offense"
"65","13546","433490","7 days 18 hrs ago","38888","41194","Proposer rule offense"
"66","13546","433480","7 days 18 hrs ago","38866","29759","Attestation rule offense"
"67","13546","433477","7 days 18 hrs ago","38860","55591","Attestation rule offense"
"68","13529","432929","7 days 19 hrs ago","38895","40865","Proposer rule offense"
"69","13529","432928","7 days 19 hrs ago","38895","60628","Proposer rule offense"
"70","13528","432909","7 days 20 hrs ago","38877","62191","Attestation rule offense"
"71","13527","432876","7 days 20 hrs ago","38868","43676","Proposer rule offense"
"72","13526","432837","7 days 20 hrs ago","38873","36075","Attestation rule offense"
"73","13523","432747","7 days 20 hrs ago","38843","33615","Attestation rule offense"
"74","13512","432410","7 days 21 hrs ago","38805","54680","Proposer rule offense"
"75","13490","431700","8 days 3 mins ago","38849","71732","Proposer rule offense"
"76","13488","431621","8 days 19 mins ago","38875","61272","Attestation rule offense"
"77","13430","429773","8 days 6 hrs ago","38832","49628","Attestation rule offense"
"78","13360","427520","8 days 13 hrs ago","38879","45110","Proposer rule offense"
"79","13086","418767","9 days 19 hrs ago","41900","18546","Attestation rule offense"
"80","13070","418258","9 days 20 hrs ago","41889","15942","Proposer rule offense"
"81","13052","417666","9 days 22 hrs ago","41895","62305","Proposer rule offense"
"82","12973","415158","10 days 7 hrs ago","41897","59290","Attestation rule offense"
"83","12752","408093","11 days 6 hrs ago","70099","44304","Attestation rule offense"
"84","12747","407925","11 days 7 hrs ago","70095","14412","Attestation rule offense"
"85","12567","402170","12 days 2 hrs ago","3041","41486","Attestation rule offense"
"86","12567","402169","12 days 2 hrs ago","2809","37153","Attestation rule offense"
"87","12567","402169","12 days 2 hrs ago","2917","37153","Attestation rule offense"
"88","12567","402169","12 days 2 hrs ago","2896","37153","Attestation rule offense"
"89","12567","402168","12 days 2 hrs ago","2673","60352","Attestation rule offense"
"90","12567","402168","12 days 2 hrs ago","2994","60352","Attestation rule offense"
"91","12567","402165","12 days 2 hrs ago","2644","46029","Attestation rule offense"
"92","12567","402165","12 days 2 hrs ago","2601","46029","Attestation rule offense"
"93","12567","402164","12 days 2 hrs ago","2680","40507","Attestation rule offense"
"94","12567","402164","12 days 2 hrs ago","2529","40507","Attestation rule offense"
"95","12567","402164","12 days 2 hrs ago","2342","40507","Attestation rule offense"
"96","12567","402163","12 days 2 hrs ago","2549","5628","Attestation rule offense"
"97","12567","402163","12 days 2 hrs ago","2631","5628","Attestation rule offense"
"98","12567","402162","12 days 2 hrs ago","2997","18690","Attestation rule offense"
"99","12567","402162","12 days 2 hrs ago","2473","18690","Attestation rule offense"
"100","12567","402162","12 days 2 hrs ago","2733","18690","Attestation rule offense"
"101","12567","402160","12 days 2 hrs ago","2470","23764","Attestation rule offense"
"102","12567","402160","12 days 2 hrs ago","2450","23764","Attestation rule offense"
"103","12567","402159","12 days 2 hrs ago","28957","36677","Attestation rule offense"
"104","12567","402159","12 days 2 hrs ago","36065","36677","Attestation rule offense"
"105","12567","402159","12 days 2 hrs ago","68456","36677","Attestation rule offense"
"106","12567","402159","12 days 2 hrs ago","63312","36677","Attestation rule offense"
"107","12567","402159","12 days 2 hrs ago","6354","36677","Attestation rule offense"
"108","12567","402159","12 days 2 hrs ago","15632","36677","Attestation rule offense"
"109","12567","402159","12 days 2 hrs ago","55526","36677","Attestation rule offense"
"110","12567","402159","12 days 2 hrs ago","61343","36677","Attestation rule offense"
"111","12567","402159","12 days 2 hrs ago","66150","36677","Attestation rule offense"
"112","12567","402159","12 days 2 hrs ago","39348","36677","Attestation rule offense"
"113","12567","402159","12 days 2 hrs ago","43345","36677","Attestation rule offense"
"114","12567","402159","12 days 2 hrs ago","48600","36677","Attestation rule offense"
"115","12567","402159","12 days 2 hrs ago","28492","36677","Attestation rule offense"
"116","12567","402159","12 days 2 hrs ago","35378","36677","Attestation rule offense"
"117","12567","402159","12 days 2 hrs ago","68414","36677","Attestation rule offense"
"118","12567","402159","12 days 2 hrs ago","15378","36677","Attestation rule offense"
"119","12567","402159","12 days 2 hrs ago","6271","36677","Attestation rule offense"
"120","12567","402159","12 days 2 hrs ago","11854","36677","Attestation rule offense"
