"Transaction","From","To","Crypto","USD","Txn","ID","Sex","Type","Skin","Slots","Rank"
"Sold","0xf5099e","14715954",25,2822,2018-11-30,0,"Girl","Female","Mid",3,"3682560000%"
"Sold","0x00d7c9","10528156",1.6,386,2017-07-07,0,"Girl","Female","Mid",3,"3682560000%"
"Sold","0xc352b5","55241",0.98,320,2017-06-23,0,"Girl","Female","Mid",3,"3682560000%"
"Claimed",NA,"12800693",NA,NA,2017-06-23,0,"Girl","Female","Mid",3,"3682560000%"
"Sold","EliteCat…","0xcf6165",60,36305,2020-11-30,1,"Guy","Male","Dark",2,"2050240500%"
"Sold","0xf5099e","GoWest23",31,5155,2019-04-06,1,"Guy","Male","Dark",2,"2050240500%"
"Sold","0xc352b5","0xa0a59c",0.42,107,2017-06-26,1,"Guy","Male","Dark",2,"2050240500%"
"Claimed",NA,"0xc352b5",NA,NA,2017-06-23,1,"Guy","Male","Dark",2,"2050240500%"
"Claimed",NA,"12800693",NA,NA,2017-06-23,2,"Girl","Female","Light",1,"1716480000%"
"Claimed",NA,"12800693",NA,NA,2017-06-23,3,"Guy","Male","Dark",3,"2488068000%"
"Claimed",NA,"12800693",NA,NA,2017-06-23,4,"Guy","Male","Mid",4,"5640426000%"
"Claimed",NA,"12800693",NA,NA,2017-06-23,5,"Girl","Female","Mid",3,"3671040000%"
"Claimed",NA,"12800693",NA,NA,2017-06-23,6,"Guy","Male","Mid",1,"1811700000%"
"Claimed",NA,"12800693",NA,NA,2017-06-23,7,"Girl","Female","Mid",3,"0.824320000%"
"Claimed",NA,"12800693",NA,NA,2017-06-23,8,"Guy","Male","Dark",2,"2252547000%"
"Claimed",NA,"12800693",NA,NA,2017-06-23,9,"Guy","Male","Mid",3,"1129293000%"
"Claimed",NA,"12800693",NA,NA,2017-06-23,10,"Girl","Female","Dark",2,"1357440000%"
"Claimed",NA,"12800693",NA,NA,2017-06-23,11,"Girl","Female","Mid",3,"1468160000%"
"Claimed",NA,"12800693",NA,NA,2017-06-23,12,"Girl","Female","Dark",2,"1505280000%"
"Claimed",NA,"12800693",NA,NA,2017-06-23,13,"Girl","Female","Light",3,"1658880000%"
"Sold","0x582fa7","0x7c00c9…",2.5,234,2018-12-07,14,"Girl","Female","Dark",3,"1365760000%"
"Sold","0xd8e806","0x582fa7",1.85,351,2017-07-17,14,"Girl","Female","Dark",3,"1365760000%"
"Sold","0xc352b5","0xd8e806",0.9,185,2017-07-13,14,"Girl","Female","Dark",3,"1365760000%"
"Claimed",NA,"0xc352b5",NA,NA,2017-06-23,14,"Girl","Female","Dark",3,"1365760000%"
"Claimed",NA,"12800693",NA,NA,2017-06-23,15,"Guy","Male","Albino",3,"2536380000%"
"Claimed",NA,"12800693",NA,NA,2017-06-23,16,"Guy","Male","Mid",3,"6642900000%"
"Claimed",NA,"12800693",NA,NA,2017-06-23,17,"Guy","Male","Light",2,"2119689000%"
"Claimed",NA,"12800693",NA,NA,2017-06-23,18,"Guy","Male","Mid",2,"1799622000%"
"Claimed",NA,"12800693",NA,NA,2017-06-23,19,"Girl","Female","Dark",3,"2191360000%"
"Claimed",NA,"12800693",NA,NA,2017-06-23,20,"Guy","Male","Light",1,"2500146000%"
"Claimed",NA,"12800693",NA,NA,2017-06-23,21,"Guy","Male","Light",3,"6886473000%"
"Claimed",NA,"12800693",NA,NA,2017-06-23,22,"Girl","Female","Dark",2,"1361280000%"
"Claimed",NA,"12800693",NA,NA,2017-06-23,23,"Guy","Male","Light",3,"6083286000%"
"Claimed",NA,"12800693",NA,NA,2017-06-23,24,"Guy","Male","Light",2,"2014006500%"
"Claimed",NA,"12800693",NA,NA,2017-06-23,25,"Girl","Female","Dark",1,"0.522240000%"
"Claimed",NA,"12800693",NA,NA,2017-06-23,26,"Girl","Female","Mid",1,"0.602880000%"
