Bids,Growth,Start Price,End Price,Times Sold,Platform
8,L,16,26,1,Known-origin
8,L,15,23,1,Known-origin
8,L,16,26,1,Known-origin
8,L,15,25,1,Known-origin
8,L,15,24,1,Known-origin
4,M,18,29,1,Superrare
4,M,21,29,1,Superrare
4,M,20,31,1,Superrare
4,M,21,30,1,Superrare
6,M,16,26,1,Superrare
6,M,18,26,1,Superrare
6,M,18,27,1,Superrare
4,H,18,26,1,Superrare
4,H,16,25,1,Superrare
4,H,20,28,1,Superrare
4,H,19,27,1,Superrare
6,H,15,25,1,Superrare
6,H,17,25,1,Superrare
6,H,17,25,1,Superrare
6,H,15,25,1,Superrare
4,M,21,29,2,Superrare
4,M,19,27,2,Superrare
4,H,20,25,1,Superrare
4,H,20,27,2,Superrare
4,H,19,25,1,Superrare
4,H,20,27,2,Superrare
4,M,21,27,2,Superrare
4,M,21,29,2,Superrare
4,M,21,31,2,Superrare
4,M,22,31,2,Superrare
6,M,18,26,2,Superrare
6,M,18,26,2,Superrare
6,M,18,27,2,Superrare
4,M,24,30,2,Superrare
4,M,24,33,2,Superrare
4,M,26,35,2,Superrare
4,M,28,37,2,Superrare
4,M,26,35,2,Superrare
4,M,21,29,2,Superrare
4,M,19,26,2,Superrare
4,M,21,29,1,Superrare
4,M,22,29,1,Superrare
6,M,17,24,2,Superrare
4,M,33,44,3,Superrare
4,M,21,29,2,Superrare
4,M,19,26,2,Superrare
4,M,22,29,1,Superrare
4,M,21,29,1,Superrare
5,M,21,29,2,Superrare
5,M,21,29,2,Superrare
6,M,16,23,2,Superrare
6,M,17,24,2,Superrare
6,H,15,24,1,Makersplace
6,H,17,25,1,Makersplace
8,H,16,23,1,Makersplace
4,M,19,27,2,Makersplace
4,M,22,30,2,Makersplace
6,M,18,26,2,Makersplace
6,M,18,29,2,Makersplace
6,M,17,26,2,Makersplace
4,M,18,26,2,Makersplace
4,M,18,27,2,Makersplace
4,M,21,30,2,Makersplace
4,M,21,31,2,Makersplace
6,M,18,26,2,Makersplace
6,M,18,26,2,Makersplace
6,M,19,28,2,Makersplace
4,M,23,31,2,Makersplace
4,M,23,32,2,Makersplace
6,M,19,27,1,Makersplace
6,M,19,26,1,Makersplace
6,M,18,26,2,Makersplace
6,M,19,25,2,Makersplace
6,M,19,25,1,Makersplace
6,M,18,26,2,Makersplace
6,M,16,26,1,Makersplace
6,M,17,27,2,Makersplace
6,M,18,28,2,Makersplace
8,M,16,25,1,Makersplace
4,M,21,29,2,Makersplace
4,M,21,27,2,Makersplace
4,M,21,31,2,Makersplace
4,M,21,31,2,Makersplace
6,M,18,26,2,Makersplace
6,M,18,26,2,Makersplace
6,M,19,28,2,Makersplace
4,M,21,29,1,Makersplace
4,M,18,29,1,Makersplace
4,M,19,28,1,Makersplace
4,M,21,29,1,Makersplace
6,M,16,26,1,Makersplace
6,M,18,26,1,Makersplace
6,M,17,26,1,Makersplace
4,M,18,24,2,OpenSea
6,M,17,24,2,OpenSea
6,M,16,22,2,OpenSea
6,M,16,22,2,OpenSea
6,M,17,24,2,OpenSea
6,M,17,24,2,OpenSea
6,M,11,17,5,OpenSea
6,M,15,22,2,OpenSea
6,M,15,21,2,OpenSea
