age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,owns_ethereum,donated
39,State-gov,13,Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40,TRUE,TRUE
50,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,FALSE,TRUE
38,Private,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,FALSE,FALSE
53,Private,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,FALSE,FALSE
28,Private,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,TRUE,TRUE
37,Private,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,TRUE,TRUE
49,Private,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16,FALSE,FALSE
52,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,FALSE,FALSE
31,Private,14,Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,FALSE,FALSE
42,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40,FALSE,FALSE
37,Private,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,80,FALSE,FALSE
30,State-gov,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,FALSE,FALSE
23,Private,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,TRUE,TRUE
32,Private,12,Never-married,Sales,Not-in-family,Black,Male,0,0,50,TRUE,TRUE
40,Private,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,FALSE,FALSE
34,Private,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,FALSE,FALSE
25,Self-emp-not-inc,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,FALSE,FALSE
32,Private,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,FALSE,FALSE
38,Private,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,FALSE,FALSE
43,Self-emp-not-inc,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,FALSE,FALSE
40,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,FALSE,FALSE
54,Private,9,Separated,Other-service,Unmarried,Black,Female,0,0,20,FALSE,TRUE
35,Federal-gov,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,FALSE,FALSE
43,Private,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40,TRUE,FALSE
59,Private,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,FALSE,TRUE
56,Local-gov,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,FALSE,FALSE
19,Private,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,FALSE,FALSE
54,NA,10,Married-civ-spouse,NA,Husband,Asian-Pac-Islander,Male,0,0,60,FALSE,FALSE
39,Private,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,80,TRUE,FALSE
49,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,FALSE,TRUE
23,Local-gov,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,52,TRUE,TRUE
20,Private,10,Never-married,Sales,Own-child,Black,Male,0,0,44,FALSE,FALSE
45,Private,13,Divorced,Exec-managerial,Own-child,White,Male,0,1408,40,TRUE,FALSE
30,Federal-gov,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,40,FALSE,FALSE
22,State-gov,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,15,TRUE,TRUE
48,Private,7,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,FALSE,FALSE
21,Private,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,FALSE,FALSE
19,Private,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,25,TRUE,TRUE
31,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,38,FALSE,FALSE
48,Self-emp-not-inc,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,TRUE,TRUE
31,Private,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,FALSE,FALSE
53,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,TRUE,TRUE
24,Private,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,TRUE,TRUE
49,Private,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,FALSE,TRUE
25,Private,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,FALSE,FALSE
57,Federal-gov,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,FALSE,FALSE
53,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,FALSE,TRUE
44,Private,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,TRUE,TRUE
41,State-gov,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,TRUE,TRUE
29,Private,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,FALSE,FALSE
25,Private,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,40,FALSE,FALSE
18,Private,9,Never-married,Other-service,Own-child,White,Female,0,0,30,TRUE,TRUE
47,Private,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,60,FALSE,FALSE
50,Federal-gov,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,55,FALSE,FALSE
47,Self-emp-inc,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,TRUE,FALSE
43,Private,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,FALSE,FALSE
46,Private,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,FALSE,FALSE
35,Private,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,FALSE,FALSE
41,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,FALSE,FALSE
30,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5013,0,40,FALSE,FALSE
30,Private,13,Married-civ-spouse,Sales,Husband,White,Male,2407,0,40,TRUE,TRUE
32,NA,4,Married-spouse-absent,NA,Not-in-family,White,Male,0,0,40,FALSE,FALSE
48,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,FALSE,TRUE
42,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,FALSE,FALSE
29,Private,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,58,TRUE,FALSE
36,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,FALSE,FALSE
28,Private,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,FALSE,FALSE
53,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,FALSE,FALSE
49,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,FALSE,FALSE
25,NA,10,Never-married,NA,Own-child,White,Male,0,0,40,FALSE,FALSE
19,Private,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,32,TRUE,TRUE
31,Private,13,Separated,Sales,Own-child,Black,Female,0,0,40,TRUE,TRUE
