Category,Total ÐApps,Monthly active users ? ,Transactions (30d) ? ,# of contracts,Rank MAU,Rank Transaction,Rank Num Contracts,Final Rank
Storage,55,109890,124380,22,1,4,12,5.666666667
Exchanges,184,49890,608500,486,2,2,4,2.666666667
Games,477,25520,650750,1160,3,1,3,2.333333333
Finance,253,24660,113300,2060,4,5,1,3.333333333
Wallet,82,16090,44940,28,5,6,11,7.333333333
Gambling,330,10860,413200,1170,6,3,2,3.666666667
Development,157,8290,27440,42,7,7,9,7.666666667
Social,256,5790,22390,165,8,9,6,7.666666667
Governance,63,5280,14640,29,9,10,10,9.666666667
Property,63,3720,22450,64,10,8,8,8.666666667
Media,132,3130,13780,133,11,11,7,9.666666667
High risk,221,2650,10230,283,12,12,5,9.666666667
Security,68,1580,4850,21,13,13,13,13
Identity,29,1370,2460,20,14,14,14,14
Energy,26,246,529,5,15,15,15.5,15.16666667
Insurance,21,90,201,4,16,16,17,16.33333333
Health,16,0,0,5,17,17,15.5,16.5
