Link,Name,Text,Owner,Funded DAI,Goal DAI,Percentage Funded
/grants/82/official-progpow-technical-audit-funding,Official ProgPow Technical Audit Funding,The Ethereum Cat Herders were tasked by the Ethereum Core Developers with reviewing and finding an independent party to perform an audit on th...,cpstl,"15,799.70","50,000.00",0.315994
/grants/56/training-1000-ethereum-developers-for-free-in-2019,Training 1000 Ethereum developers for free in 2019,"B9lab have been running in-depth, extensively mentored and supported Ethereum developer courses since 2015. We believe that making quality edu...",8bitpal,0,"50,000.00",0
/grants/54/progpow-full-stack-integration,Open Source ProgPoW miner full stack integration,"Project in one sentence
Extend ethminer’s capabilities to implement ProgPoW by the means of EIP-1057 (https://github.com/ethereum/EIPs/blob/ma...",andrealanfranchi,"6,752.00","38,400.00",0.175833333
/grants/95/tsskit-threshold-signature-scheme-toolkit,TSSKit: Threshold Signature Scheme Toolkit,TSSKit automatically selects the appropriate Threshold Signature Scheme based on a set of options required by the secret sharing needs of each...,tina1998612,"20,234.40","30,000.00",0.67448
/grants/47/evm-evolution,EVM Evolution,"In the 21st century, on a blockchain holding billions USD in value, formal specification and verification are an essential tool. Yet the desig...",bmann,88,"30,000.00",0.002933333
/grants/86/gitcoin-sustainability-fund,Gitcoin Sustainability Fund,This is our second in a series of Gitcoin Grant's posted by the internal Gitcoin team ( the other is https://gitcoin.co/grants/12/gitcoin-open...,owocki,294,"20,000.00",0.0147
/grants/96/grinswap-cross-chain-atomic-swaps-with-grin,GrinSwap - cross chain atomic swaps with Grin,"GrinSwap makes it easy for anyone to trade in and out of Grin trustlessly and without the need for a third party. It makes OTC deals a breeze,...",jaspervdm,"3,510.48","10,000.00",0.351048
/grants/97/knockturn-allee-grin-payment-processor,Knockturn Allee - Grin payment processor,Self-hosted Grin payment processor which allows merchants to accept grin payments (and donations in the future). It supports easy integration ...,hashmap,"2,565.28","7,000.00",0.366468571
/grants/58/ironbelly,Ironbelly - Grin mobile wallet,Ironbelly is a mobile wallet for Grin/Mimblewimble blockchain. It's first of a kind. The goal is to provide an easy and simple way to hold and...,i1skn,"5,911.77","7,000.00",0.844538571
/grants/25/lighthouse-ethereum-20-client,Lighthouse: Ethereum 2.0 Client,"Sigma Prime is developing a fully open-source Serenity (Ethereum 2.0 / ETH 2.0) client called Lighthouse, using the Rust programming language....",paulhauner,"3,221.54","6,300.00",0.511355556
/grants/89/hopr-decentralized-privacy-preserving-messaging-2,HOPR - decentralized privacy-preserving messaging protocol,HOPR is a privacy-preserving messaging protocol that incentivizes users to participate in the network. It provides privacy by relaying message...,scbuergel,"6,824.38","6,000.00",1.137396667
/grants/17/implement-support-for-asyncio-using-web3py-2,Implement support for asyncio using Web3.py,The Web3.py library provides a wide array of high level APIs for interacting with the Ethereum blockchain.  Python3 introduced core support fo...,pipermerriam,"1,472.00","5,500.00",0.267636364
/grants/15/whiteblock-testing-2,Whiteblock Testing,"Whiteblock is a blockchain research and testing team. Some of our notable work includes our audit and analysis of the EOS blockchain, sharding...",zscole,142.25,"5,000.00",0.02845
/grants/90/eggforce,Eggforce,"POA Network would like to introduce to the community its latest initiative, the POA Games Fund. This initiative is a $50,000 Dai fund which wi...",siddigzeidan,0,"5,000.00",0
/grants/87/kitsune-wallet,Kitsune-Wallet,"Kitsune wallet is the new name of Universally Upgradable Identity Proxy, which was initiated during EthParis 2019. Similarly to the nine-taile...",amxx,"5,000.00","5,000.00",1
/grants/66/leapdao-building-a-home-for-dapps-on-layer-2,LeapDAO - building a home for dApps on layer-2 ❤,"Ethereum, being the first world computer, has spurred a cambrian explosion of dApps. Yet its capacity is limited — when gas prices surge, high...",johannbarbie,"5,011.00","5,000.00",1.0022
/grants/65/urllib3,urllib3 - Python HTTP Library,"urllib3 is a powerful, sanity-friendly HTTP client for Python.

Much of the Python ecosystem already uses urllib3 and you should too. PyPI see...",shazow,180,"5,000.00",0.036
